"Literacy rate, adult female (% of females ages 15 and above)","Mauritius","90.65402"
"Literacy rate, adult female (% of females ages 15 and above)","Mexico","93.4855"
"Literacy rate, adult female (% of females ages 15 and above)","Micronesia, Fed. Sts.","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Middle East & North Africa","72.31189"
"Literacy rate, adult female (% of females ages 15 and above)","Middle East & North Africa (excluding high income)","69.52295"
"Literacy rate, adult female (% of females ages 15 and above)","Middle East & North Africa (IDA & IBRD)","69.24832"
"Literacy rate, adult female (% of females ages 15 and above)","Middle income","81.21342"
"Literacy rate, adult female (% of females ages 15 and above)","Moldova","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Monaco","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Mongolia","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Montenegro","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Morocco","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Mozambique","43.06246"
"Literacy rate, adult female (% of females ages 15 and above)","Myanmar","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Namibia","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Nauru","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Nepal","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Netherlands","NA"
"Literacy rate, adult female (% of females ages 15 and above)","New Caledonia","NA"
"Literacy rate, adult female (% of females ages 15 and above)","New Zealand","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Nicaragua","82.77935"
"Literacy rate, adult female (% of females ages 15 and above)","Niger","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Nigeria","NA"
"Literacy rate, adult female (% of females ages 15 and above)","North America","NA"
"Literacy rate, adult female (% of females ages 15 and above)","North Macedonia","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Northern Mariana Islands","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Norway","NA"
"Literacy rate, adult female (% of females ages 15 and above)","OECD members","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Oman","86.03721"
"Literacy rate, adult female (% of females ages 15 and above)","Other small states","81.24221"
"Literacy rate, adult female (% of females ages 15 and above)","Pacific island small states","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Pakistan","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Palau","96.34015"
"Literacy rate, adult female (% of females ages 15 and above)","Panama","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Papua New Guinea","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Paraguay","94.87442"
"Literacy rate, adult female (% of females ages 15 and above)","Peru","91.24653"
"Literacy rate, adult female (% of females ages 15 and above)","Philippines","98.24175"
"Literacy rate, adult female (% of females ages 15 and above)","Poland","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Portugal","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Post-demographic dividend","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Pre-demographic dividend","51.73806"
"Literacy rate, adult female (% of females ages 15 and above)","Puerto Rico","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Qatar","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Romania","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Russian Federation","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Rwanda","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Samoa","NA"
"Literacy rate, adult female (% of females ages 15 and above)","San Marino","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Sao Tome and Principe","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Saudi Arabia","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Senegal","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Serbia","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Seychelles","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Sierra Leone","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Singapore","95.19065"
"Literacy rate, adult female (% of females ages 15 and above)","Sint Maarten (Dutch part)","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Slovak Republic","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Slovenia","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Small states","84.16215"
"Literacy rate, adult female (% of females ages 15 and above)","Solomon Islands","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Somalia","NA"
"Literacy rate, adult female (% of females ages 15 and above)","South Africa","93.40803"
"Literacy rate, adult female (% of females ages 15 and above)","South Asia","60.55537"
"Literacy rate, adult female (% of females ages 15 and above)","South Asia (IDA & IBRD)","60.55537"
"Literacy rate, adult female (% of females ages 15 and above)","South Sudan","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Spain","97.54713"
"Literacy rate, adult female (% of females ages 15 and above)","Sri Lanka","NA"
"Literacy rate, adult female (% of females ages 15 and above)","St. Kitts and Nevis","NA"
"Literacy rate, adult female (% of females ages 15 and above)","St. Lucia","NA"
"Literacy rate, adult female (% of females ages 15 and above)","St. Martin (French part)","NA"
"Literacy rate, adult female (% of females ages 15 and above)","St. Vincent and the Grenadines","NA"
"Literacy rate, adult female (% of females ages 15 and above)","Sub-Saharan Africa","56.6289"
"Literacy rate, adult female (% of females ages 15 and above)","Sub-Saharan Africa (excluding high income)","56.62408"
"Literacy rate, adult female (% of females ages 15 and above)","Sub-Saharan Africa (IDA & IBRD)","56.6289"
"Literacy rate, adult female (% of females ages 15 and above)","Sudan","NA"
